FECHA_HORA,prediccion,y_true
2022-10-19 23:59:00,18544.643571485503,17036.0
2022-10-20 23:59:00,18040.369797905885,17114.0
2022-10-21 23:59:00,17845.30769454616,16743.0
2022-10-22 23:59:00,17403.085227711956,17942.0
2022-10-23 23:59:00,18657.30523675325,20189.0
2022-10-24 23:59:00,21422.672806301172,22990.0
2022-10-25 23:59:00,24250.427624817185,26427.0
2022-10-26 23:59:00,23976.115995859996,24957.0
2022-10-27 23:59:00,21981.55470489845,22048.0
2022-10-28 23:59:00,19324.264499941626,17342.0
2022-10-29 23:59:00,17396.348019126068,15813.0
2022-10-30 23:59:00,14829.236407653427,7714.0
2022-11-01 23:59:00,14544.698290933733,16144.0
2022-11-02 23:59:00,14465.575814519641,12401.0
2022-11-03 23:59:00,14793.611288223381,15177.0
2022-11-04 23:59:00,16426.771067986545,17596.0
2022-11-05 23:59:00,17205.559237883837,17489.0
2022-11-06 23:59:00,16629.737590991943,16901.0
2022-11-07 23:59:00,15826.688040197232,14178.0
2022-11-08 23:59:00,16719.04313167417,17277.0
2022-11-09 23:59:00,15324.467837718694,13477.0
2022-11-10 23:59:00,16511.795395524932,19220.0
2022-11-11 23:59:00,18621.011869736256,16966.0
2022-11-12 23:59:00,15518.745133102542,13344.0
2022-11-13 23:59:00,15256.751427781464,15376.0
2022-11-14 23:59:00,17831.011025573935,19992.0
2022-11-15 23:59:00,21348.870608541274,22284.0
2022-11-16 23:59:00,20037.43564040446,19740.0
2022-11-17 23:59:00,21279.987341324384,23089.0
2022-11-18 23:59:00,20048.199110766767,18513.0
2022-11-19 23:59:00,19624.435614916372,20625.0
2022-11-20 23:59:00,16796.498400287135,15548.0
2022-11-21 23:59:00,14917.330824973998,12935.0
2022-11-22 23:59:00,14179.366619034196,14153.0
2022-11-23 23:59:00,17475.604248243573,18016.0
2022-11-24 23:59:00,16939.894989132972,16878.0
2022-11-25 23:59:00,19698.59027147558,20494.0
2022-11-26 23:59:00,17556.93543855413,15871.0
2022-11-27 23:59:00,18455.18016113393,14925.0
2022-11-28 23:59:00,18957.245064972438,17562.0
2022-11-29 23:59:00,16815.5958533856,16823.5
2022-11-30 23:59:00,17706.716985270607,18161.0
2022-12-01 23:59:00,17138.102384278987,15858.0
2022-12-02 23:59:00,18933.212650329075,19662.0
2022-12-03 23:59:00,18001.972644764694,17254.0
2022-12-04 23:59:00,17526.30453294763,17997.0
2022-12-05 23:59:00,18806.961279028365,20404.0
2022-12-06 23:59:00,19191.606447814953,17803.0
2022-12-07 23:59:00,19715.017936767974,21663.0
2022-12-08 23:59:01,19144.192974501653,19103.0
2022-12-09 23:59:00,16166.067944519873,13728.0
2022-12-10 23:59:00,13074.225148935322,7420.0
2022-12-11 23:59:00,11828.165692549213,7606.0
2022-12-12 23:59:00,13514.97854678899,14002.0
2022-12-13 23:59:00,15367.10388802104,12710.0
2022-12-14 23:59:00,13891.737172868076,13257.0
2022-12-15 23:59:00,15445.001450289632,17561.0
2022-12-16 23:59:00,14869.93315247025,14585.0
2022-12-17 23:59:00,12058.654847777387,11678.0
2022-12-18 23:59:00,10667.796078776666,11230.0
2022-12-19 23:59:00,9573.459474736632,7524.0
2022-12-20 23:59:00,8727.971232339085,6985.0
2022-12-21 23:59:00,11489.278424002725,10796.0
2022-12-22 23:59:00,13739.199970189795,16537.0
2022-12-23 23:59:00,14422.802840773396,14036.0
2022-12-24 23:59:00,12076.786115907891,11709.0
2022-12-25 23:59:00,12018.38115744775,12788.0
2022-12-26 23:59:00,11243.721255836015,10212.0
2022-12-27 23:59:00,11091.974792362696,12675.0
2022-12-28 23:59:00,9190.796074895803,6488.0
2022-12-29 23:59:00,11531.97897962844,14552.0
2022-12-30 23:59:00,10154.558060163288,8423.0
2023-01-01 23:59:00,9174.921747452787,7868.0
2023-01-02 23:59:00,10341.429869047308,10546.0
2023-01-03 23:59:00,13772.724300607804,17060.0
2023-01-04 23:59:00,16733.68476727179,17763.0
2023-01-05 23:59:00,16702.256180077544,16820.0
2023-01-06 23:59:00,15593.50766699581,15954.0
2023-01-07 23:59:00,15984.228151532663,17261.0
2023-01-08 23:59:00,15424.96809308705,15321.0
2023-01-09 23:59:00,13784.366037989512,11239.0
2023-01-10 23:59:00,14367.032736631512,13995.0
2023-01-11 23:59:00,15381.73695233339,14936.0
2023-01-12 23:59:00,15157.105164539367,15786.0
2023-01-13 23:59:00,13647.243399146644,12384.0
2023-01-14 23:59:00,16132.782829581525,17859.0
2023-01-15 23:59:00,15346.366434542271,13973.0
2023-01-16 23:59:00,14609.03148602637,14969.0
2023-01-17 23:59:00,16155.157260353437,17596.0
2023-01-18 23:59:00,16103.063756794974,15318.0
2023-01-19 23:59:00,15967.694576400218,15876.0
2023-01-20 23:59:00,17232.77117995033,18598.0
2023-01-21 23:59:00,16345.575070077379,14858.0
2023-01-22 23:59:00,14661.20619750119,11710.0
2023-01-23 23:59:00,15455.18140258702,17384.0
2023-01-24 23:59:00,17537.612749735,19679.0
2023-01-25 23:59:00,20057.03720832467,23080.0
2023-01-26 23:59:00,18393.332399680123,16208.0
2023-01-27 23:59:00,18276.62875901064,18832.0
2023-01-28 23:59:00,17561.425751544764,17360.0
2023-01-29 23:59:00,16452.189475951836,16043.0
2023-01-30 23:59:00,17673.623178560305,17830.0
2023-01-31 23:59:00,20914.508337823394,23381.0
2023-02-01 23:59:00,20608.629411705497,20697.0
2023-02-02 23:59:00,20338.33263207273,19475.0
2023-02-03 23:59:00,19796.56211159789,19856.0
2023-02-04 23:59:00,19403.641281234588,18903.0
2023-02-05 23:59:00,16798.272752600802,16560.0
2023-02-06 23:59:00,16562.478088188353,13474.0
2023-02-07 23:59:00,16710.831019276306,17407.0
2023-02-08 23:59:00,18551.622234548697,18666.0
2023-02-09 23:59:00,20149.48359582091,22216.0
2023-02-10 23:59:00,19534.24127674535,17557.0
2023-02-11 23:59:00,18592.27485077691,17366.0
2023-02-12 23:59:00,18099.461554696416,18189.0
2023-02-13 23:59:00,16833.342730641813,16205.0
2023-02-14 23:59:00,17216.5358044274,17334.0
2023-02-15 23:59:00,18304.322196687364,19020.0
2023-02-16 23:59:00,15927.91705484404,13416.0
2023-02-17 23:59:00,19039.829302411308,22369.0
2023-02-18 23:59:00,18707.385489684068,17942.0
2023-02-19 23:59:00,16244.632739801445,14484.0
2023-02-20 23:59:00,16281.886632518905,16449.0
2023-02-21 23:59:00,18283.80514293958,20340.0
2023-02-22 23:59:00,19978.8105447633,20688.0
2023-02-23 23:59:01,20455.583452035262,20743.0
2023-02-24 23:59:00,20038.303128194617,19535.0
2023-02-25 23:59:00,19903.91516175397,19312.0
2023-02-26 23:59:00,16437.70987389248,15531.0
2023-02-27 23:59:00,18557.425213547154,21756.666666666668
2023-02-28 23:59:00,22019.952386474237,23447.0
2023-03-01 23:59:00,20425.591695246145,18856.0
2023-03-02 23:59:00,15730.169180143715,10274.0
2023-03-03 23:59:00,16972.50526607092,20679.0
2023-03-04 23:59:00,21133.769361715807,22280.0
2023-03-05 23:59:00,20061.83278283179,19199.0
2023-03-06 23:59:00,19261.473270303737,18576.0
2023-03-07 23:59:00,20449.259918728134,21478.0
2023-03-08 23:59:00,21391.071684105595,21039.0
2023-03-09 23:59:00,19138.450130489728,19832.0
2023-03-10 23:59:00,19327.516108494674,20768.0
2023-03-11 23:59:00,21153.546068320626,22277.0
2023-03-12 23:59:00,21418.077788484406,20509.0
2023-03-13 23:59:00,21743.266972001828,22200.0
2023-03-14 23:59:00,22411.813652894,22101.0
2023-03-15 23:59:00,23250.46379320466,24861.0
2023-03-16 23:59:00,20390.470241281913,18209.0
2023-03-17 23:59:00,19601.00771679032,20614.0
2023-03-18 23:59:00,21081.799900196926,21601.0
2023-03-19 23:59:00,21102.75936850052,20636.0
2023-03-20 23:59:00,21104.20670305185,19673.0
2023-03-21 23:59:00,23178.06815439677,24742.0
2023-03-22 23:59:00,22822.221925734088,22212.0
2023-03-23 23:59:00,20073.282855644047,18998.0
2023-03-24 23:59:00,19936.455283346077,21157.0
2023-03-25 23:59:00,22303.652723851625,22642.0
2023-03-26 23:59:00,24666.496690626216,26724.0
2023-03-27 23:59:00,23294.355726706144,23301.0
