EE Planta / Hl,EE Elaboracion / Hl,EE Bodega / Hl,EE Cocina / Hl,EE Envasado / Hl,EE Frio / Hl,Agua Linea 5/Hl,ET Linea 5/Hl,Aire L5 / Hl,Hl de Mosto,Hl Cerveza Cocina,Hl Producido Bodega,Hl Cerveza Filtrada,Hl Cerveza Envasada,Hl Cerveza L2,Hl Cerveza L3,Hl Cerveza L4,Hl Cerveza L5,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Linea 4 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta,Agua Planta (Hl),Agua Elaboracion (Hl),Agua Bodega (Hl),Agua Cocina (Hl),Agua Envasado (Hl),Planta de agua (Hl),Produccion (Hl),Gas Planta (Mj),Vapor Elaboracion (Kg),Vapor Cocina (Kg),Vapor Envasado (Kg),Vapor _Vapor_L5 (KG),Aire Producido (M3),Aire Planta (M3),Vapor_L5 (KG),año,mes_sin,mes_cos,dia_semana_sin,dia_semana_cos
8.444719249811769,1.240445823541491,1.060998425699879,0.3894823336072309,2.000045631887563,2.569987907549796,0.0,0.0,0.0,3651.0,4271.8,4382.9,9561.0,4494.0,0.0,0.0,4494.0,0.0,37012.36,5436.75,4650.25,1422.0,8766.0,864.61,781.0,7985.0,21746.5,13666.0,4979.0,942.0,846.0,11264.0,1614.0,690.0,2332.5,1063.110000000001,39555.0,21508.0,15830.4,9148.9,6681.5,2142.1,22067.06,17972.5,493259.0215879999,88259.75,64130.0,69292.44,2859.07,34522.0,31198.09,,2021,0.49999999999999994,0.8660254037844387,0.0,1.0
3.69558096706497,0.4347937813182577,0.2918754550516082,0.2893006575014943,1.236712493040387,0.8648764401045013,0.0,0.0,0.0,8365.0,15057.0,11674.5,1155.0,8292.0,0.0,3704.0,4588.0,0.0,43144.06,5076.0,3407.5,2420.0,14438.0,916.44,6360.0,8078.0,22347.0,14348.0,5921.0,1035.0,699.0,10097.0,1500.0,704.0,2629.0,1283.059999999998,46177.0,24154.5,15225.5,4717.200000000001,10508.3,7183.8,29815.75,22409.3,680104.6811759999,94704.13,75830.0,154826.92,2522.83,42560.0,38163.94,,2021,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
5.476600834845835,0.5426221673393501,0.4110690281035297,0.3429530201342282,1.689140097739396,1.616208495979093,3.481751824817518,48.33751824817518,21.93642335766423,5960.0,8465.150000000001,9049.575,8254.0,9634.0,0.0,3961.0,5536.0,137.0,49560.91,4910.5,3720.0,2044.0,15286.0,1222.91,6963.0,8322.0,27672.0,19017.0,5976.0,1018.0,688.0,14626.0,1394.0,604.0,2677.0,1692.410000000003,52454.0,25104.1,15339.0,6797.1,8541.900000000001,6516.0,30086.2,21855.0,665550.179044,91870.44,73520.0,148799.44,6622.24,43974.0,38471.46,,2021,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
5.499603915038618,0.5739757510558404,0.4583158539504263,0.3376949274063452,1.618517937063927,1.719096236549454,1.653061224489796,37.45190476190476,14.62333333333333,5579.0,8120.65,9713.825,11983.0,11307.0,0.0,5376.0,5784.0,147.0,53422.19,5575.5,4452.0,1884.0,15722.0,1082.69,7067.0,8655.0,30620.5,20254.0,6072.0,1015.0,719.0,16699.0,1419.0,622.0,2554.5,1504.190000000002,56221.0,24820.0,15312.8,7399.799999999999,7913.0,7064.4,30353.12,22377.2,670422.6983360001,87643.91,71040.0,163473.37,5505.43,45164.0,39462.44,,2021,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
7.388390585726254,0.7287302917206184,0.7069464544138929,0.4928571428571429,2.374438266433087,2.283189884987432,1.2,26.12018604651163,13.64697674418605,1260.0,1890.0,6564.5,8024.0,11239.0,0.0,4856.0,6168.0,215.0,48501.09,4783.75,4640.75,621.0,15587.0,1156.09,7120.0,8467.0,26887.5,17826.0,5337.0,912.0,747.0,14988.0,1288.0,472.0,2580.5,1242.839999999997,51241.0,18242.6,8762.3,7077.9,1684.4,6670.2,24036.57,15432.5,453744.710512,18868.03,2080.0,146071.74,5615.84,43519.0,37903.71,,2021,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
8.139412808231329,0.6649813730707823,0.6725208444207912,0.0,2.788717402873869,2.33173673940039,1.692307692307692,33.79307692307692,15.85076923076923,0.0,0.0,5637.0,10990.0,11274.0,0.0,5471.0,5660.0,143.0,45881.87,3748.5,3791.0,399.0,15720.0,1076.25,7455.0,8265.0,25325.5,15723.0,5094.0,935.0,691.0,13144.0,1087.0,319.0,3114.5,1087.870000000003,48387.0,19362.9,9118.9,8507.3,611.5999999999999,7306.3,25757.31,16425.2,476744.319676,26880.47,6630.0,153214.88,4832.41,41861.0,36081.24000000001,,2021,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
7.553647322597054,0.8454696751954408,0.7795902040090671,0.5090661831368993,2.220740674894193,2.458775945597582,0.0,0.0,0.0,2206.0,3356.55,5062.275,14135.0,6768.0,0.0,1523.0,5245.0,0.0,38238.64,4280.0,3946.5,1123.0,11242.0,597.39,3185.0,8057.0,23148.0,15267.0,4595.0,658.0,506.0,12447.0,1021.0,465.0,2416.0,-431.3600000000006,40177.0,24331.4,13659.3,9142.0,4517.3,5509.400000000001,28474.87,19168.7,440083.527812,53945.31,36480.0,99720.75,1430.49,34759.0,30318.75,,2021,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
3.724817422530665,0.461411596191091,0.2789349983860555,0.3098663926002055,0.9086507424144609,1.113722562943835,0.0,0.0,0.0,7784.0,14011.2,9913.6,4344.0,5816.0,0.0,0.0,5816.0,0.0,36926.35,4574.25,2765.25,2412.0,9008.0,878.98,925.0,8083.0,22425.5,15686.0,5252.0,989.0,595.0,11041.0,1081.0,434.0,2692.5,918.5999999999985,39155.0,22792.4,15693.2,6284.099999999999,9409.1,2891.7,24114.78,18584.9,486873.482636,67987.69,52900.0,81732.55,698.8,35848.0,31408.6,,2021,0.49999999999999994,0.8660254037844387,0.0,1.0
4.066674996983851,0.3917977973492356,0.2474535082125437,0.3125,1.294186587614829,1.102876544699333,0.0,0.0,0.0,7808.0,14054.4,11604.2,4405.0,9154.0,0.0,4262.0,4892.0,0.0,47190.51,4546.5,2871.5,2440.0,15018.0,1029.14,6869.0,8146.0,26237.5,17380.0,5810.0,966.0,632.0,12798.0,1243.0,533.0,2695.5,1388.510000000002,49818.0,26794.1,15202.6,5366.2,9836.4,7257.5,32531.34,22460.1,633383.11078,77995.81,60350.0,144060.61,2190.61,41722.0,36680.34,,2021,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
4.86477057975298,0.5688036829047657,0.4685358841389687,0.2830584288509925,1.237516905356871,1.526273835433628,0.9205020920502092,22.94824267782427,11.2052719665272,7154.0,12877.2,11165.1,6172.0,9453.0,0.0,6013.0,3201.0,239.0,54315.65,6350.75,5231.25,2025.0,13817.0,1622.15,7694.0,6105.0,31972.5,19316.0,6305.0,990.0,681.0,17041.0,1375.0,616.0,2913.5,2175.400000000001,57357.0,30540.6,15443.6,6358.200000000001,9085.4,10157.4,39153.64,25601.0,642567.782736,75659.56,54600.0,140292.63,5484.63,47182.0,41902.46,,2021,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
