EE Planta / Hl,EE Elaboracion / Hl,EE Bodega / Hl,EE Cocina / Hl,EE Envasado / Hl,EE Sala Maq / Hl,EE Frio / Hl,EE Aire / Hl,Agua Linea 3/Hl,Agua Linea 5/Hl,ET Planta / Hl,ET Bodega/Hl,ET Linea 5/Hl,ET Servicios / Hl,Aire Planta / Hl,Aire Elaboracion / Hl,Aire Cocina / Hl,Aire Bodega / Hl,Aire L5 / Hl,Hl de Mosto,Hl Cerveza Cocina,Hl Producido Bodega,Hl Cerveza Filtrada,Hl Cerveza Envasada,Hl Cerveza L2,Hl Cerveza L3,Hl Cerveza L4,Hl Cerveza L5,Planta (Kw),Elaboracion (Kw),Bodega (Kw),Cocina (Kw),Envasado (Kw),Linea 2 (Kw),Linea 3 (Kw),Servicios (Kw),Sala Maq (Kw),Aire (Kw),Calderas (Kw),Efluentes (Kw),Frio (Kw),Pta Agua / Eflu (Kw),Prod Agua (Kw),Resto Serv (Kw),Restos Planta (Kw),KW Gral Planta,Agua Planta (Hl),Agua Elaboracion (Hl),Agua Bodega (Hl),Agua Cocina (Hl),Agua Dilucion (Hl),Agua Envasado (Hl),Planta de agua (Hl),Produccion (Hl),FC L1 y L2,Red L3,FC Lavadora L3,Red Paste L4,Gas Planta (Mj),Vapor Elaboracion (Kg),Vapor Cocina (Kg),Vapor Envasado (Kg),Vapor Servicio (Kg),ET Servicios (Mj),Tot_Vapor_L3_L4,Vapor _Vapor_L5 (KG),Tot_Vapor_CIP_Bodega,Aire Producido (M3),Aire Planta (M3),Aire Envasado (M3),Aire Servicios (M3),Totalizador_Aire_L3,Totalizador_Aire_L5,Vapor_L5 (KG),EE Linea 5 / Hl,Unnamed: 21,Unnamed: 22,Unnamed: 35,Unnamed: 46,Aire Expulsion / Hl,CO 2 linea 2 / Hl,Agua Lavadora L3 / Hl,Agua Paste L3 / Hl,Unnamed: 65,Unnamed: 66,Unnamed: 67,Meta EE Planta,Meta Agua Planta,Meta ET Planta,Meta Aire Planta,Unnamed: 72,Meta Agua Elab,Meta Agua Bodega,Meta Agua Cocina,Meta Agua Envas,Meta Agua Linea 2,Meta Agua Linea 3,Meta Agua Linea 4,Meta Agua Linea 5,Meta Agua Servicios,Meta Agua Planta de Agua,Meta Produccion Agua,Unnamed: 84,Meta EE Elaboracion,Meta EE Bodega,Meta EE Cocina,Meta EE Envasado,Meta EE Linea 2,Meta EE Linea 3,Meta EE Linea 4,Meta EE Linea 5,Meta EE Servicios,Meta EE Sala Maq,Meta EE Frio,Meta EE Aire,Meta EE CO2,Meta EE Caldera,Meta EE Eflu,Meta EE Agua ,Meta EE Resto Serv,Meta EE Resto Planta,Unnamed: 103,Meta ET Elab,Meta ET Bodega,Meta ET Cocina,Meta ET Envasado,Meta ET Linea 2,Meta ET Linea 3,Meta ET Linea 4,Meta ET Linea 5,Meta ET Servicios,Unnamed: 113,Meta Aire Elaboracion,Meta Aire Cocina,Meta Aire Bodega,Meta Aire Envasado,Meta Aire L2,Meta Aire L3,Meta Aire L4,Meta Aire L5,Meta Aire Servicios,Unnamed: 123,Unnamed: 124,Cocimientos Diarios,Hl de Mosto Copia,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Agua Paste L3,Agua Lavadora L3,Agua Cond Evaporativos,Agua Calderas,Agua Efluentes,Agua CO2,Tot Vap Paste L3 / Hora,Tot Vap Lav L3 / Hora,Medicion Gas Planta (M3),mes_sin,mes_cos,dia_semana_sin,dia_semana_cos,Frio_diff1_lag1,Frio_diff7_lag1,Frio_roll_mean_3_lag1,Frio_roll_std_3_lag1,Frio_roll_mean_7_lag1,Frio_roll_std_7_lag1,Frio_roll_mean_14_lag1,Frio_roll_std_14_lag1,Frio_roll_mean_28_lag1,Frio_roll_std_28_lag1,Estacion_Code
8.609133669897282,1.068006534610575,0.9486430364329561,0.2910342770101321,1.0587339634173982,3.77142906698929,3.05124203230104,0.9681103926360506,0.0,0.0,61.26364946331805,1.3948499767425393,0.0,9.182519538236377,8.16279704763297,4.948782752957732,0.9664965713815142,3.6729595744460752,0.0,2929.0311235156123,0.0,43.0,0.0,86.0,74.0,4.547473508864641e-13,5028.143532753554,0.0,27637.270000000004,2027.25,2968.0,709.4642141897086,593.9999999999982,1078.829999999998,6736.304887003367,23848.0,17080.0,4265.0,391.0,741.0,14325.0,970.0,188.0,2241.0,1168.02,29529.0,10280.0,7385.694824759075,4183.628079130935,4630.842225466871,0.0,1092.0,11241.400000000005,8124.492499423177,8.900000000000006,59.80000000000001,1.0,18.80000000000001,150775.73052799818,6779.440000000002,470.0,12619.869999999995,6309.44,37003.37142889378,8817.270000000004,923.69,6309.44,31871.0,26192.02,1784.92,5678.980000000003,1622.6790102593686,122.46000000000004,3596.770982493572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,-4850.53387936661,-6502.309242760059,20609.272895719034,3699.376961387394,21324.08887922009,5255.8615293726525,23519.23850129865,4642.535943889599,26047.572963645438,5415.593053856427,3.0
7.767254221077013,0.7696089592827846,0.7988379770236207,0.3192294461644307,2.358592581753812,3.88521097355113,3.419545255013365,0.86566429099111,1.204334104775931,0.0,67.0232367833091,2.050416665179639,0.0,5.547366398598433,7.291765554013012,4.585760935899586,1.4056735289284656,3.268049721449959,0.0,2907.0,3343.05,7005.025,13361.0,10667.0,713.0,4753.0,5201.0,0.0,54409.81,5391.129999999888,5595.879999999888,928.0,16522.0,2965.340000000028,7162.0,38033.0,27216.0,6064.0,819.0,855.0,23954.0,1639.7488060418025,-164.0,3812.0,3196.9333559421,65592.0,13969.999999999996,15464.3,9933.3,5531.0,3874.0,9684.2,22107.77,25148.5,51.8,459.42,113.0,190.6,469499.4492479998,45103.22,30740.0,114069.87,14363.22,38859.44030634198,85530.37999999999,270.75,14363.22,51079.0,43136.07,13338.3,5617.33,7356.39,79.38999999999999,1758.3737670822643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.4338837391175582,-0.900968867902419,2816.766249509412,-2081.8377601222173,25100.793178138727,3003.710872951984,25787.10377391588,3022.7789659702153,25496.44635922847,3196.9339181725923,25619.67776213008,3823.900584807837,3.0
8.801204569055036,0.8625933742002478,0.8357618999765518,0.2609235866639056,1.98546209761163,4.205406491809868,3.787626034234415,1.001306401366697,1.45455737704918,0.0,73.46266920604296,1.970632097276655,0.0,4.936588257372378,8.435735101999798,4.909044987103475,1.49968523503831,3.421063209727667,0.0,4829.0,4902.5,7463.25,9493.0,10024.0,33.0,4575.0,5416.0,0.0,65685.59,6437.75,6237.5,1260.0,14818.0,1289.5299999999443,6629.0,42565.5,31386.0,7473.0,870.0,895.0,28268.0,1926.0,943.0,3302.5,1864.339999999997,68039.0,36300.0,17008.7,8598.7,8410.0,3074.0,12356.3,46955.43,29365.0,7.5,558.46,107.0,313.2515133909085,548270.2659520002,61087.31999999999,46380.0,143068.86,14707.32,36842.9923118344,106248.73,299.6800000000003,14707.32,62958.0,45528.85000000001,12754.62,13565.94999999999,7452.0,130.76999999999998,2945.887038761185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,9629.0,-2676.045528690295,28132.4623514189,2111.4512313042305,29863.93272176574,2940.218109966446,29310.848017977187,3574.5783758720327,29071.290335495876,3478.40315373066,3.0
5.175639255493933,0.4392254113218608,0.3710767260862523,0.258048032703117,1.442114113372878,2.165176677491265,1.87021281519249,0.6249469697554053,1.150266666666667,1.765273311897106,49.0222337860125,1.275730274677384,13.01,3.65974511700049,5.35586186681888,2.945488765301636,0.9668536024527336,1.878641345849756,7.565337620578779,7828.0,13705.6,12964.3,8450.0,12223.0,1348.0,5250.0,5314.0,311.0,67098.54,5694.25,4810.75,2020.0,18696.0,5861.349999999998,7115.0,39650.0,28070.0,8102.0,952.0,834.0,24246.0,1956.0,1011.0,3998.0,3058.289999999994,69857.0,40120.0,19224.2,7377.3,11846.9,2251.0,12926.6,51124.18,32150.8,133.5,483.89,120.0,204.35,635538.9454720018,80588.95000000001,64050.0,124411.1,16538.95,47446.03362032945,90628.83999999995,4046.11,16538.95,69435.0,52367.43999999999,20443.64,10805.16000000001,7716.01,2352.82,6866.900283815015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,4314.0,3041.9637842319435,22182.333333333332,7138.3411471667105,29480.146750274565,3069.729614438282,29836.61639941067,3344.462776813394,29657.06917990362,3644.349809075202,3.0
7.92466473415853,0.8023650307695329,0.7177873997850482,0.3015922572588198,1.664725740054271,3.756099888034258,3.354482418011051,0.8752971020796444,2.3113332269607154,1.177718832891247,62.15057634890637,1.363220797005267,13.3084350132626,3.91523285419124,7.456637828706445,3.886420154956098,1.090081173899469,2.52735696306253,8.189734748010611,6406.0,9459.95,8908.975,12894.0,8358.0,1103.0,1380.0,5498.0,377.0,70600.64,7148.25,6394.75,1932.0,14831.0,5653.89,3732.0,45385.0,33463.0,7798.0,876.0,814.0,29885.0,1940.0,1018.0,3782.0,3236.389999999999,73431.0,38940.0,18716.2,9265.0,9451.2,4446.0,12077.7,49146.08,30793.9,134.41,409.9,38.0,295.02,553697.9309279982,78034.9,65890.0,102608.87,12144.9,34880.7116171684,65862.69,5017.28,12144.9,66431.0,48039.29000000001,18540.07,13266.90999999999,4620.0,3087.53,5724.527955887522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,-0.7818314824680299,0.6234898018587335,-4021.9999999999995,-1800.3411229889566,25489.333333333332,2410.8208837102243,29537.146828215922,2775.961299634033,30064.846912174988,3216.2096684369726,30937.74218997058,4189.272968943302,3.0
7.052766190885285,0.6850009833045243,0.627063645679153,0.2871687136393019,1.868485607526938,2.918861850889632,2.530611822425554,0.8153147092006252,1.611056105610561,0.0,68.32649523852896,1.245847867264239,0.0,3.455780459781996,6.891515634541935,3.464463374494116,1.143375888817065,2.219743719789263,0.0,6188.0,8972.6,9661.3,6754.0,10350.0,1304.0,3636.0,5410.0,0.0,68138.89,6618.0,6058.25,1777.0,18052.0,5557.799999999975,6682.0,40436.5,28200.0,7877.0,902.0,879.0,24449.0,1952.0,974.0,3686.5,3032.389999999999,70868.0,36240.0,15083.8,5715.700000000001,9368.1,2203.0,14547.2,49278.82000000001,29631.0,155.71,487.78,98.0,327.32,660122.7684479998,85506.51,73470.0,140438.6900000001,12036.50999999999,33387.33175609179,89436.18000000005,2561.639999999999,12036.50999999999,66581.0,48144.36,19623.54,13486.24,6926.739999999998,1458.73,5169.782310291085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.0,1.0,5638.999999999999,2566.5184255577988,27466.333333333332,2903.7187076804375,28043.037438067524,3621.5577169043445,29197.04973694017,3783.4951879758473,29190.346462044825,3438.8343685026734,3.0
6.531602799034882,0.5858131504553489,0.5507770548489475,0.293204238217026,1.904037217724653,2.677961693868804,2.35355875228156,0.6987955288644453,1.264796663190824,0.0,64.18080551253836,1.576223614569236,0.0,4.76815631747016,5.816040030244217,3.1455613721628,1.304408111070515,2.036009882346143,0.0,5474.0,7937.3,10382.15,9751.0,12827.0,2569.0,4795.0,5463.0,0.0,67812.08,6082.0,5718.25,1605.0,19768.0,6246.899999999949,7483.0,39097.0,27803.0,7255.0,900.0,847.0,24435.0,1898.0,947.0,3780.0,2865.080000000002,70698.0,35010.0,15972.8,6582.6,9390.2,2155.0,12574.2,45986.92,28547.0,89.68,486.47,120.0,204.05,666334.7499520001,80784.59,64420.0,123123.08,16364.59,49503.71411142282,89522.22000000003,328.1700000000001,16364.59,60383.0,44980.12,16701.63,11023.68,7425.18,142.46000000000004,4319.471456151706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.7818314824680298,0.6234898018587336,-5436.0,-1129.8523711318182,26193.333333333332,3198.6879080856497,27938.817819143824,3044.072296406732,28884.631741640194,3069.4059920547597,29896.86985615334,3724.615475422459,3.0
6.895979003621702,0.6955697814460047,0.6569785762694305,0.2592708496322954,1.700085038785456,3.178723900215402,2.883634997992739,0.6336900357853569,1.385958395245171,0.0,50.9331518122758,1.035615279354569,0.0,2.961204151979181,5.324809310236166,3.079066213702035,1.161409795024253,1.996840183200306,0.0,6391.0,10672.9,11582.95,9243.0,12493.0,2720.0,4038.0,5735.0,0.0,79875.78,8056.75,7609.75,1657.0,19692.0,6449.090000000056,7294.0,49066.5,36819.0,7340.0,888.0,901.0,33401.0,2037.0,1008.0,3988.5,3060.529999999999,82741.0,39710.0,18680.3,8878.7,9801.6,3096.0,13585.2,51427.17,32265.5,84.28,464.65,95.0,333.39,589956.1507839999,71505.48000000001,59510.0,122823.08,11995.48000000001,34299.47963216725,88579.06999999995,218.3100000000013,11995.48000000001,61677.0,46397.39999999999,15845.53,10166.80000000001,7327.18,147.60999999999967,3775.2383330314933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,-14.0,-30.631379681095453,26256.333333333332,3142.525311486504,24223.14285714286,4942.327097922308,30358.489523827637,3726.272900937759,30725.027844856624,4261.651796709815,3.0
5.749735695794386,0.5745903672355795,0.508243035855462,0.194118878191712,1.363685687268443,2.655520935063325,2.396642328977352,0.5448077012509883,1.252947281029473,0.0,47.11165527042738,0.8980312824567116,0.0,2.5531220373082286,4.545567285185014,3.005174471779133,0.7691963164503979,1.842914942101103,0.0,9556.0,14679.6,12901.8,12521.0,11124.0,778.0,4818.0,5528.0,0.0,74181.94,7413.25,6557.25,1855.0,17594.0,3643.94,7430.0,46922.0,34261.0,7029.0,876.0,862.0,30921.0,2002.0,1034.0,3653.0,2252.690000000002,76628.0,39940.0,21928.5,9428.3,12500.2,4337.0,10855.1,48602.25,32783.6,34.2,483.67,120.0,277.07,607825.153968,79596.22,68010.0,122613.06,11586.22,32939.86990094329,90393.18000000004,301.5199999999986,11586.22,58646.0,44345.82000000001,13218.46,6655.379999999986,7517.290000000001,110.73000000000047,4014.684698812144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,0.4338837391175582,-0.900968867902419,8966.0,19076.0,27428.333333333332,5172.485798272756,26948.285714285714,3670.4810635794383,30785.98965362933,3204.9955732284857,30769.65734768296,4007.9433317304142,3.0
5.984851637346085,0.4980131803975512,0.4649401869034593,0.2258758451137062,1.428149975267345,2.749738809860232,2.45960148262836,0.6123051055740526,1.152139577594123,0.0,49.66689247785706,0.8863296075382463,0.0,2.4876331227021966,5.158943350021405,3.156193699938557,1.082252612169638,2.069314428564775,0.0,6508.0,11291.05,11270.525,12268.0,11250.0,23.999999999999773,5445.0,5781.0,0.0,67452.42,5612.870000000112,5240.120000000112,1470.0,16096.0,1276.5700000000224,7690.0,43973.5,30991.0,6901.0,856.0,565.0,27721.0,1538.0,858.0,3383.5,1770.049999999886,69882.0,34340.0,18287.4,8105.599999999999,10181.8,3827.0,8943.4,41454.66,27230.8,7.290000000000006,445.34,182.0,166.47,559771.953344,67639.4,57650.0,121814.78,9989.399999999994,28036.93130024317,89568.93999999994,277.5500000000011,9989.399999999994,58144.0,42511.72000000002,12146.16,10425.87999999998,7577.550000000003,97.5,4224.596887789316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4999999999999998,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,-2480.0,6967.0,29585.666666666668,4629.7543491348815,27943.571428571428,3667.813692884945,30408.834661911646,3187.364493901394,30615.376736976315,4008.1009174212213,3.0
